Type,Depth,Magnitude
earthquake,0.008,-0.4
earthquake,0.03333,0.37
earthquake,0.05586,0.66
earthquake,0.065,-0.1
earthquake,0.1713,0.59
earthquake,,2.3
earthquake,0.07583,1.23
earthquake,0.00991,1.34
earthquake,0.086,-0.5
earthquake,16.671,4.7
earthquake,0.01891,2.92
earthquake,0.1162,2.12
earthquake,0.283,4.1
earthquake,2.706,4.1
earthquake,0.002703,0.89
earthquake,0.2789,1.03
earthquake,0.02997,0.82
earthquake,,1.4
earthquake,0.03514,0.36
earthquake,0.1264,1.03
earthquake,0.056,-0.9
earthquake,,1.6
earthquake,,2.9
earthquake,0.07027,0.57
earthquake,0.369,0.9
earthquake,0.06679,1.01
earthquake,0.06937,0.4
earthquake,0.01892,1.05
earthquake,,1.8
earthquake,0.06577,1.9
earthquake,0.2162,1.32
earthquake,0.06811,0.39
earthquake,0.07117,0.69
earthquake,3.639,4.1
earthquake,0.01171,0.43
earthquake,0.01081,0.43
earthquake,0.005405,1.46
earthquake,0.01273,0.7
earthquake,0.05343,1.42
earthquake,0.01441,0.59
earthquake,0.005405,0.75
earthquake,0.2234,1.13
earthquake,5.486,4.1
earthquake,0.01081,0.45
earthquake,0.04761071,1.9
earthquake,0.11678099,1.6
earthquake,0.2189,1.14
earthquake,,1.6
earthquake,0.2054,1.15
earthquake,0.002703,0.56
earthquake,0.056,-0.6
earthquake,,1.6
earthquake,0.398,1.1
earthquake,0.008108,1.01
earthquake,,2.3
earthquake,0.02523,1.26
earthquake,0.0009009,0.23
earthquake,0.09706,2.4
earthquake,,2.48
earthquake,,0.79
earthquake,0.008108,0.45
earthquake,0.01532,0.43
earthquake,0.01081,1.05
earthquake,0.1423,0.55
earthquake,0.02217,2.19
earthquake,4.131,4.3
earthquake,,2.9
earthquake,6.443,4.2
earthquake,0.1213,0.58
earthquake,,1.8
earthquake,,2.3
earthquake,0.1128,0.1
earthquake,,1.3
earthquake,0.08565,0.22
earthquake,0.006306,1.07
earthquake,,2.08
earthquake,,2.0
earthquake,0.007207,0.57
earthquake,5.337,4.5
earthquake,3.794,5.1
