Type,Depth,Magnitude
earthquake,0.01892,0.34
earthquake,0.00991,0.37
earthquake,0.08919,0.81
earthquake,0.04233,1.44
earthquake,0.06826,0.35
earthquake,0.01193,1.1
earthquake,3.738,4.7
earthquake,0.00991,0.85
earthquake,0.06762,-0.05
earthquake,0.1887,1.43
earthquake,,3.6
earthquake,0.001802,1.98
earthquake,0.0662,0.93
earthquake,,1.6
earthquake,,1.4
earthquake,0.03395,1.22
earthquake,,1.92
earthquake,,1.97
earthquake,0.005405,1.03
earthquake,0.1492,0.19
earthquake,0.11049278,1.4
earthquake,2.47,4.6
earthquake,0.02342,0.51
earthquake,0.03423,1.03
earthquake,0.01261,0.53
earthquake,,1.26
earthquake,0.02072,0.57
earthquake,2.576,4.9
earthquake,0.03964,1.03
earthquake,0.738,4.2
earthquake,3.997,6.5
earthquake,0.01132,0.96
earthquake,0.004508,3.02
earthquake,0.04346,0.4
earthquake,,2.1
earthquake,0.01892,-0.12
earthquake,,2.3
earthquake,1.828,4.3
earthquake,0.01171,1.31
earthquake,0.551,4.6
earthquake,0.08829,0.73
earthquake,0.21,0.6
earthquake,0.01441,0.68
earthquake,2.199,4.9
earthquake,3.13,4.9
earthquake,0.1225,1.42
earthquake,,1.3
earthquake,0.47161552,2.2
earthquake,0.01619,-0.07
earthquake,,2.5
earthquake,,1.6
earthquake,2.792,4.0
earthquake,0.2019,0.52
earthquake,,0.3
earthquake,0.00991,1.38
earthquake,,0.4
earthquake,,1.7
earthquake,0.24793502,2.5
