Felt,Detail,CDI,Sig
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lva0&format=geojson,,369
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134216&format=geojson,,31
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vxoqy&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr14001002&format=geojson,,74
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408674&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vx893&format=geojson,,96
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vwz0z&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vz&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408666&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vlgri&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134211&format=geojson,,29
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak10931263&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vjqkq&format=geojson,,44
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr14001001&format=geojson,,96
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vhrac&format=geojson,,44
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134206&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vhakz&format=geojson,,89
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vfked&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134201&format=geojson,,13
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141vb3vb&format=geojson,,62
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vy&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134196&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141uv9w4&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408658&format=geojson,,2
